"author","Affiliation"
"Matthias Heinkenschloss","Veterinärmedizinische Universität Wien"
"Bernd Sturmfels","Bayside Solutions"
"Arno Wagner","Kosin University"
"Christian Stangier","99designs"
"Mirjam Dür","Technische Universität München"
"Reiner Horst","Outreach"
"Beniamino Di Martino","Clover Health"
"Christoph W. Keßler","Always Hired"
"Wei Zhou 0006","Université Senghor d'Alexandrie"
"Anna Bernasconi 0001","Fachhochschule Erfurt"
"Igor E. Shparlinski","College of St. Elizabeth"
"Le Dung Muu","Jobspring Partners"
"Kasyap Natarajan","Betterworks"
"Hubertus Th. Jongen","99designs"
"Oliver Stein","Braintree"
"M. Nast","University of Baltimore"
"Lothar Breuer","The Superior College "
"Daniel Görgen","Heritage College"
"Hannes Frey","Indeed"
"Johannes K. Lehnert","Grand Rounds"
"Peter Sturm 0001","Veterinärmedizinische Universität Wien"
"Patrick Reuther","UserTesting"
"E. Levitin","Betterworks"
"Jürgen Huschens","RGA Associates"
"Marco Fahl","Universidad Privada Abierta Latinoamericana"
"Andreas Neumann 0001","99designs"
"Randal E. Bryant","St. Petersburg State University of Technology and Design"
"Subhendu Bikash Hazra","Stitch Labs"
"Volker Schulz 0001","Preston University, Pakistan Campus"
"Elena Dubrova","University of the Faroe Islands"
"Horst Schmitt","Royal Danish School of Pharmacy"
"Peter Willems","Logikcull"
"Igor N. Kovalenko","Zero Financial"
"Dieter Prangenberg","College of St. Elizabeth"
"R. J. Gardner","TrustArc"
"János Sztrik","Naytev"
"Oliver Möller","Universidad Privada Abierta Latinoamericana"
"Ulrich Hertrampf","Logikcull"
"Thomas Burger","Veterinärmedizinische Universität Wien"
"Jochen Bern","RGA Associates"
"Heidi Jäger","Kosin University"
"Thomas Erlebach","Vietnam Maritime University"
"Flemming Nielson","Clover Network"
"Gurami Tsitsiashvili","Always Hired"
"Patrick Justen","RGA Associates"
"Klaus Schwettmann","Indiegogo"
"Ulrich Raber","Swiftly"
"Fabio Somenzi","Universidad Privada Los Andes"
"Thorsten Theobald","Universidad Privada Abierta Latinoamericana"
"Abdelouahed Hamdi","College of St. Elizabeth"
"Attahiru Sule Alfa","Windsor University School of Medicine"
"Siegfried Graf 0001","Heritage College"
"Jens Hofmann 0001","Université Senghor d'Alexandrie"
"Norbert Th. Müller","West Pomeranian Business School in Szczecin"
"Jan-J. Rückmann","Linguistic University of Nizhny Novgorod"
"Volker Klotz","BloomThat"
"Dimitri Efrosinin","IBM"
"Vladimir Rykov","Veterinärmedizinische Universität Wien"
"Gerhard J. Woeginger","Zero Financial"
"Hans L. Bodlaender","Université Senghor d'Alexandrie"
"Michael Ruvimovich Davidson","Oracle"
"Stephan Waack","Allbirds"
"Holger Class","IBM"
"Rainer Helmig","Tokushima University"
"Katja Lenz","Naytev"
"Alexander Hufnagel","Technische Universität München"
"David G. Larman","St. Petersburg State University of Technology and Design"
"D. Kleis","City University Programs in Bulgaria "
"Petra Scheffler","Braintree"
"Stasys Jukna","Always Hired"
"Mikail Gevantmakher","Gemini"
"Tankred Rautert","Always Hired"
"Luciano Lenzini","Oracle"
"S. Rotin","Kosin University"
"Dirk Frosch","Grand Rounds"
"Craig Smith","Gemini"
"Vladimir V. Kalashnikov","University of Debrecen "
"C. Ould Ahmed Salem","University of Debrecen "
"N. Lehdili","The Sourcery"
"Matthias Krause 0001","Islamic Azad University, Janah"
"Andreas Brieden","Fachhochschule Erfurt"
"Marco Gilbert","Credit Karma"
"Lars Abbe","Aktana"
"Sebastian Maneth","Université Senghor d'Alexandrie"
"Thomas Perst","Flipboard"
"Helmut Finner","The Juilliard School"
"Markus Roters","Awadhesh Pratap Singh University"
"Jirí Sgall","Tokyo Denki University"
"M. A. Osipova","Linguistic University of Nizhny Novgorod"
"N. V. Koliev","Linguistic University of Nizhny Novgorod"
"Oleg V. Khamisov","Triplebyte"
"Markus Holzer 0001","UserTesting"
"Markus Müller-Olm","University of Engineering and Technology Lahore"
"Varmo Vene","Clover Health"
"Feng Cheng 0002","Always Hired"
"Paul Ferring","Royal Danish School of Pharmacy"
"Martin Luckow","Kasetsart University"
"Dirk Frosch-Wilke","Fachhochschule Dortmund"
"Christopher Lusena","Kabam"
"Eric Allender","Oracle"
"Judy Goldsmith","Bayside Solutions"
"Rainer Hettich","UserTesting"
"Matthias Transier","Mozilla"
"Wolfgang Effelsberg","Swiftly"
"Aditya V. Nori","University of Medicine Magway"
"Anthony J. Hayter","Huaihai Institute of Technology"
"Joachim Reiter","Universidad Privada Abierta Latinoamericana"
"Rustam Mubarakzjanov","Firat (Euphrates) University"
"Ulrich Holtmann","Kagawa Medical School"
"C. T. Kelley","Gustav-Siewerth-Akademie"
"Peter Rossmanith","The Juilliard School"
"Michael Schmitt 0002","Universitat de Vic"
"Gianpiero Cabodi","Universitas Negeri Surabaya"
"Stefano Quer","University of California, Riverside"
"Ditmar Erdmann","The Sourcery"
"Peter Dierolf","Awadhesh Pratap Singh University"
"Volker Schmidt","Okayama University of Science"
"Paul B. Hermanns","St. Petersburg State University of Technology and Design"
"Markus R. Schmidt","Quantcast"
"Clemens Lautemann","Firat (Euphrates) University"
"Heribert Vollmer","University of Baltimore"
"Klaus W. Wagner","University of Medicine Magway"
"Thomas Schwentick","Technische Universität München"
"B. S. Tam","UserTesting"
"Anderson Rocha 0001","Indeed"
"Jacques Wainer","The Superior College "
"Michael Eckmann","Dover"
"Siome Goldenstein","Universitas Negeri Surabaya"
"Astrid Kiehn","Highland Capital Partners"
"Bernd Simeon","Tokushima University"
"Claus Führer","Islamic Azad University, Janah"
"Peter Rentrop","UserTesting"
"Heinrich Hussmann","Woebot Labs"
"Ulrich Rüde","Firat (Euphrates) University"
"Ulrich Furbach","University of Engineering and Technology Lahore"
"Christian Roth","Tempo Automation"
"Erwin Loibl","Firat (Euphrates) University"
"Markus Pawlowski","Skillz"
"Christian Sporrer","Bayside Solutions"
"Herbert Bauer","College of St. Elizabeth"
"Frits W. Vaandrager","Universidade para o Desenvolvimento do Alto Vale do Itajaí"
"Rob van Glabbeek","IBM"
"Ursula Goltz","Bayside Solutions"
"Christian Freksa","National Hsin-Chu Teachers College"
"Gerhard Dirlich","Vietnam Maritime University"
"Dirk Taubner","Heritage College"
"Stephen L. Bloom","Highland Capital Partners"
"Zoltán Ésik","Triplebyte"
"Peter Slavkovsky","General Assembly"
"Michael Griebel","The Superior College "
"Peter Oswald","Ahi Evran University"
"Burkhard Freitag","Radical Designs"
"Günther Specht","Huaihai Institute of Technology"
"Heribert Schütz","Always Hired"
"Michael W. Binder","Universitas Negeri Surabaya"
"Kristof Nast-Kolb","Universitat de Vic"
"Uwe M. Borghoff","University of Baltimore"
"Arnd Poetzsch-Heffter","Linguistic University of Nizhny Novgorod"
"Thomas Eisenbarth 0004","Radical Designs"
"Bernhard Schätz","Gustav-Siewerth-Akademie"
"Marco Dorigo","Ecole de l'Air"
"Manfred Broy","Islamic Azad University, Janah"
"Günter Böckle","Universidad Autónoma de Veracruz Villa Rica"
"Siegfried Trosch","Allbirds"
"Jürgen Schmidhuber","Technische Universität München"
"Johann Schumann","Universitat de Vic"
"Manfred R. Jobmann","Outreach"
"Franz J. Kurfess","Rockbot"
"Daniel Hernández 0001","Indeed"
"Rolf Niedermeier","Swiftly"
"Sergei Gorlatch","Windsor University School of Medicine"
"Michael Werner","Gemini"
"Wolfgang Heinle","Jobspring Partners"
"Christoph Zenger 0001","Stitch Labs"
"Stefan Zimmer","Shandong Medical University"
"Jochen Hager","Heritage College"
"Martin Moser","Radical Designs"
"Ilko Michler","Liaoning Technical University"
"Bertram Fronhöfer","Avicenna International College"
"Christoph Kreitz","The Superior College "
"Gerd Neugebauer","Universidade para o Desenvolvimento do Alto Vale do Itajaí"
"Michael Schneider","Kasetsart University"
"Vytautas Cyras","Universidade para o Desenvolvimento do Alto Vale do Itajaí"
"Evgenii V. Vorozhtsov","Vietnam Maritime University"
"Victor G. Ganzha","University of California, Riverside"
"Robert Gold","Clover Network"
"Walter Vogler","Liaoning Technical University"
"Gerhard Köstler","Jobspring Partners"
"Ulrich Güntzer","Avicenna International College"
"Werner Kießling","Stockholm School of Economics"
"Werner Pohlmann","TrustArc"
"Wolfgang Reisig","Highland Capital Partners"
"Bernhard Reinmiedl","Kabam"
"Christoph Pflaum","Universidad Autónoma de Veracruz Villa Rica"
"Johann M. Ph. Schumann","Awadhesh Pratap Singh University"
"Frank Dederichs","Tempo Automation"
"Ketil Stølen","99designs"
"Rainer Weber","Braintree"
"Wolfgang Ertel","Intelliswift"
"Peter Lory","Logikcull"
"Claus Dendorfer","Huaihai Institute of Technology"
"Andreas Strasser","Academy of Management and Entrepreneurship"
"Thomas Bonk","Universitat de Vic"
"Siegfried Meggendorfer","Universidade para o Desenvolvimento do Alto Vale do Itajaí"
"Gerhard Weiss 0001","Tokyo Denki University"
"Barbara I. Wohlmuth","Kagawa Medical School"
"Ronald H. W. Hoppe","Swiftly"
"Peter Weijland","Betterworks"
"Andrea Eberhard","Okayama University of Science"
"Patrick Thomas","Odense University"
"Reinhold Letz","Fachhochschule Erfurt"
"Kai Zimmermann","RGA Associates"
"Peter Manhart","Université Senghor d'Alexandrie"
"Peter Baumgartner 0001","The Sourcery"
"Peter Baumgartner 0006","RGA Associates"
"Edward Ochmanski","College of St. Elizabeth"
"Klaus Reinhardt","Kentik"
"Volker Diekert","Firat (Euphrates) University"
"Michael Luby","Bayside Solutions"
"Christian B. Suttner","University of Baltimore"
"Thomas H. Krodel","Université Senghor d'Alexandrie"
"Geneviève Pourcin","Flipboard"
"Sandra A. Hayes","Technische Universität München"
"Martin Röscheisen","Codexis"
"Reimar Hofmann","Okayama University of Science"
"Volker Tresp","Kagawa Medical School"
"Klaus Hallatschek","Aktana"
"Reiner Müller","Tempo Automation"
"Friedrich L. Bauer","Aktana"
"Rudi Hettler","University of California, Riverside"
"Gabriele Scheler","TrustArc"
"Christoph Goller","The Sourcery"
"Geoff Sutcliffe","Zero Financial"
"Theodor Yemenis","Academy of Management and Entrepreneurship"
"Ekkart Kindler","Ahi Evran University"
"Inga Niepel","Stitch Labs"
"Margit Kinder","Huaihai Institute of Technology"
"Till Brychcy","Okayama University of Science"
"Jörg Desel","Indeed"
"Max Fuchs","Oracle"
"Robert Balder","Triplebyte"
"Daniel Kobler","Veterinärmedizinische Universität Wien"
"Gerhard W. Zumbusch","Gemini"
"Andreas Listl","Universitas Negeri Surabaya"
"Irmgard Schwarzer","Outreach"
"Stefan Högg","Universidad Autónoma de Veracruz Villa Rica"
"Ernst W. Mayr","Rockbot"
"Volker Heun","Fachhochschule Dortmund"
"Michael Roth","College of St. Elizabeth"
"Carlos Delgado Kloos","Stitch Labs"
"Friederike Nickl","Vietnam Maritime University"
"Martin Eldracher","Academy of Management and Entrepreneurship"
"Joachim F. Schreiber","The Sourcery"
"Steffen Hölldobler","Fachhochschule Erfurt"
"Michael Arbesmeier","Betterworks"
"Klaus-Jörn Lange","Odense University"
"Eike Jessen","Tokushima University"
"Rudolf Hettler","Codexis"
"Reinhard Fössmeier","The Superior College "
"Javier Esparza","Radical Designs"
"Johannes Bauer 0001","Jobspring Partners"
"Thomas Bemmerl","Woebot Labs"
"Thomas Treml","Universidad Privada Abierta Latinoamericana"
"Hans Regler","Codexis"
"Dieter Dodenhöft","College of St. Elizabeth"
"Georg Strobl","TrustArc"
"Wilfried Brauer","Quantcast"
"Thomas F. Gritzner","Liaoning Technical University"
"Oswald Giering","Okayama University of Science"
"Andreas Weininger","Royal Danish School of Pharmacy"
"Michael Friedrich 0001","Highland Capital Partners"
"Thomas Schnekenburger","Universidade para o Desenvolvimento do Alto Vale do Itajaí"
"Hubert Kiechle","The Sourcery"
"Angelika Mader","Ecole de l'Air"
"Dieter Barnard","Naytev"
"Klaus Mayr","The Juilliard School"
"Thomas Laußermair","University of Debrecen "
"Rudolf Bayer","University of the Faroe Islands"
"Thomas Streicher","Tempo Automation"
"Thierry Conrad","99designs"
"Luitpold Babel","Heritage College"
"Hans-Joachim Bungartz","Mozilla"
"Stefan Eichholz","Technische Universität München"
"B. M. Hearn","Linguistic University of Nizhny Novgorod"
"Karl Meinke","RGA Associates"
"Frank Johannes","Jobspring Partners"
"Georg Sigl","Clover Health"
"Henning Spruth","IBM"
"Friedrich Erhard","College of St. Elizabeth"
"Hans Obermaier","The Superior College "
"Hans-Jürgen Plewan","Tokyo Denki University"
"Peter Schlenk","Avicenna International College"
"Manfred Kunde","Islamic Azad University, Janah"
"Johann K. Obermaier","Technische Universität München"
"Helmut Thöne","Universidad Autónoma de Veracruz Villa Rica"
"Andreas Heise","Stockholm School of Economics"
"Cristian Dimitrovici","Woebot Labs"
"Peter Pepper","Universidad Autónoma de Veracruz Villa Rica"
"Max Moser","Triplebyte"
"Ralph Werchner","Indeed"
"Hermann Hellwagner","Universidad Privada Abierta Latinoamericana"
"Veronika Thurner","Allbirds"
"Frank Leßke","The Superior College "
"Stephen F. McCormick","Logikcull"
"Erwin Klöck","99designs"
"Siegfried Bocionek","Universidad Privada Abierta Latinoamericana"
"Christoph Pleier","TrustArc"
"Zong-Yan Qiu","Clover Network"
"Andrey V. Solovjov","Universitas Negeri Surabaya"
"Mikhail Yu. Shashkov","Aktana"
"C. J. Date 0001","The Sourcery"
"Hugo Hellebrand","Vietnam Maritime University"
"Markus Casper","Outreach"
"Ralf Merz","Fachhochschule Erfurt"
"Rita Ley","West Pomeranian Business School in Szczecin"
"Patrick A. V. Hall","Stitch Labs"
"Markus Tresch","The Sourcery"
"Andreas Rock","Grand Rounds"
"Gayane Grigoryan","TrustArc"
"Günther Heinemann","Fachhochschule Erfurt"
"Oliver Gronz","Aktana"
"Oliver Gutjahr","Universidad Autónoma de Veracruz Villa Rica"
"Sarah R. Davies","City University Programs in Bulgaria "
"Colleen Murphy","RGA Associates"
"Paolo Gardoni","Islamic Azad University, Janah"
"Louise A. Dennis","Rockbot"
"Steven R. Smith","Odense University"
"Lishan Lan","Université Senghor d'Alexandrie"
"Qin Zhu","Heritage College"
"Yongmou Liu","Naytev"
"Indira Nair","Indeed"
"William M. Bulleit","Layer"
"Jaime A. Teixeira da Silva","University of the Faroe Islands"
"Vito L. Punzi","Kosin University"
"David Koepsell","University of California, Riverside"
"William J. Frey","College of St. Elizabeth"
"Amarjeet Singh 0004","The Sourcery"
"Kewal Krishan","Highland Capital Partners"
"Neelam Dehal","Vietnam Maritime University"
"Tanuj Kanchan","Logikcull"
"Adrian Treloar","Woebot Labs"
"Alastair J. D. Macdonald","Stockholm School of Economics"
"Dimitrios Adamis","Zero Financial"
"Finbarr C. Martin","Highland Capital Partners"
"Jinnie M. Garrett","Universidad Autónoma de Veracruz Villa Rica"
"Stephanie J. Bird","Tokyo Denki University"
"Brian Bowe","Naytev"
"Diana Adela Martin","Zero Financial"
"Eddie Conlon","Fachhochschule Erfurt"
"Petr Houdek","Kasetsart University"
"Enrica Marchigiani","Rockbot"
"Ileana Di Pomponio","Universitas Negeri Surabaya"
"Margherita Bracci","Liaoning Technical University"
"Oronzo Parlangeli","Kentik"
"Paola Palmitesta","Jobspring Partners"
"Stefano Guidi","The Sourcery"
"Laura Yenisa Cabrera Trujillo","Tempo Automation"
"Sabrina Engel-Glatter","Credit Karma"
"Peter M. Attia","Sri Padmavati Women's University"
"Albert P. C. Chan","Skillz"
"Amos Darko","The Juilliard School"
"Igor Martek","Ecole de l'Air"
"M. Reza Hosseini","Ivanovo State Power University"
"Mahdi Tahmasebi","Allbirds"
"Saeed Banihashemi","Islamic Azad University, Janah"
"Matthew Grellette","Layer"
"Christian Gamborg","Royal Danish School of Pharmacy"
"Ellen-Marie Forsberg","Skillz"
"Karsten Klint Jensen","Braintree"
"Kate Millar","Naytev"
"Peter Sandøe","Betterworks"
"Gizell Green","Shandong Medical University"
"Miri Barak","Universidad Privada Abierta Latinoamericana"
"Rafi Rashid","University of Medicine Magway"
"Raymond E. Spier","University of Baltimore"
"Fabrizia Faustinella","Academy of Management and Entrepreneurship"
"Giovanni M. Pes","Clover Network"
"Maria Pina Dore","IBM"
"Lynne E. Olson","Heritage College"
"Dena Plemmons","Swiftly"
"Michael W. Kalichman","Fachhochschule Erfurt"
"Sylvia C. Pont","Bayside Solutions"
"Willem-Paul Brinkman","Universidade para o Desenvolvimento do Alto Vale do Itajaí"
"Nikolas Stroth","Dover"
"Anna Krizanova","Triplebyte"
"Jana Kliestikova","Betterworks"
"Maria Misankova","Naytev"
"Tatiana Corejova","Université Senghor d'Alexandrie"
"Tomas Kliestik","The Juilliard School"
"Seumas Miller","Skillz"
"Reena Cheruvalath","99designs"
"Wha-Chul Son","UserTesting"
"Cathal D. O'Connell","Windsor University School of Medicine"
"Frédéric Gilbert 0003","Kabam"
"Susan Dodds","Triplebyte"
"Tajanka Mladenovska","Tempo Automation"
"David M. Shaw","Sri Padmavati Women's University"
"Peter Morfeld","Universitas Negeri Surabaya"
"Thomas C. Erren","General Assembly"
"Guido Nicolosi","Tokyo Denki University"
"Guido Ruivenkamp","Ecole de l'Air"
"Lars Lindblom","Tokyo Denki University"
"Per Wikman-Svahn","Stockholm School of Economics"
"Patrick L. Taylor","Windsor University School of Medicine"
"Ioanna Semendeferi","Clover Health"
"Ioannis T. Pavlidis","Université Senghor d'Alexandrie"
"Malcolm Dcosta","Firat (Euphrates) University"
"Panagiotis Tsiamyrtzis","Tokyo Denki University"
"Maarten C. A. van der Sanden","Zero Financial"
"Patricia Osseweijer","Gustav-Siewerth-Akademie"
"Steven M. Flipse","Kentik"
